epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4042,3.99984,9.56864,2.21104,0.0002,0.06329,0.00013,2e-05,3.89709,9.78511,2.23176,0.0002,0.0002,0.0002
2,54.4081,3.42354,7.12379,1.93143,0.00106,0.32911,0.00131,0.00037,3.16388,7.82034,1.57411,0.000411684,0.000411684,0.000411684
3,81.666,3.15384,5.79799,1.61296,0.00138,0.43038,0.00202,0.00047,2.81762,7.42735,1.51579,0.000614656,0.000614656,0.000614656
4,108.761,2.91887,4.8837,1.59369,0.00089,0.27848,0.00095,0.00021,2.91863,6.54884,1.7041,0.000808916,0.000808916,0.000808916
5,135.87,2.70938,4.03149,1.49822,0.00069,0.21519,0.0006,0.00018,3.15303,11.328,1.83322,0.000994464,0.000994464,0.000994464
6,162.907,2.64708,4.09061,1.46271,0.00098,0.3038,0.00088,0.00033,3.03003,6.29564,1.75473,0.0011713,0.0011713,0.0011713
7,190.06,2.72852,3.92904,1.50549,0.55783,0.1119,0.14735,0.03679,2.57475,5.18841,1.45386,0.00133942,0.00133942,0.00133942
8,217.178,2.65635,3.54729,1.46624,0.60056,0.07595,0.18225,0.04466,2.58507,4.6061,1.42054,0.00149884,0.00149884,0.00149884
9,245.555,2.69745,3.41079,1.47257,0.02264,0.11392,0.01726,0.00553,2.39223,4.8985,1.37506,0.00164954,0.00164954,0.00164954
10,274.995,2.32861,4.45396,1.27013,0.54196,0.49367,0.50861,0.17552,2.16487,3.40689,1.31319,0.0016436,0.0016436,0.0016436
11,304.302,2.45813,3.64082,1.42125,0.53352,0.65823,0.57184,0.19039,2.1835,3.14857,1.31634,0.001604,0.001604,0.001604
12,333.576,2.46299,3.02214,1.42904,0.39506,0.51899,0.3754,0.11735,2.4111,3.23743,1.35518,0.0015644,0.0015644,0.0015644
13,365.522,2.15769,3.42947,1.24166,0.45691,0.53249,0.40627,0.1323,2.37607,3.16087,1.33328,0.0015248,0.0015248,0.0015248
14,395.653,2.4636,2.99077,1.49063,0.58264,0.53165,0.53116,0.17933,2.27104,2.88634,1.31968,0.0014852,0.0014852,0.0014852
15,425.07,2.35603,2.65273,1.33153,0.58519,0.62504,0.62235,0.23001,2.15752,2.515,1.28277,0.0014456,0.0014456,0.0014456
16,454.811,2.40522,2.39809,1.35872,0.60106,0.59125,0.6663,0.25842,2.07079,2.39227,1.25563,0.001406,0.001406,0.001406
17,482.65,2.40486,2.69251,1.39974,0.72166,0.62025,0.69398,0.23774,2.29912,2.38835,1.36668,0.0013664,0.0013664,0.0013664
18,509.869,2.34176,2.34239,1.40835,0.69426,0.63238,0.69506,0.2396,2.21676,2.49344,1.33284,0.0013268,0.0013268,0.0013268
19,536.984,2.35432,2.46935,1.34934,0.79745,0.64789,0.71143,0.27883,2.15682,2.29116,1.32777,0.0012872,0.0012872,0.0012872
20,564.114,2.16394,2.78338,1.20694,0.79426,0.65823,0.74523,0.25807,2.27897,2.14309,1.36137,0.0012476,0.0012476,0.0012476
21,591.37,2.3577,2.16084,1.36941,0.69096,0.72152,0.71281,0.23421,2.21992,2.23408,1.33166,0.001208,0.001208,0.001208
22,618.33,2.24671,2.27476,1.39824,0.77698,0.61744,0.724,0.23569,2.24455,2.26622,1.33604,0.0011684,0.0011684,0.0011684
23,645.34,2.29422,2.12828,1.3635,0.76715,0.70898,0.79549,0.3076,2.07068,2.05245,1.27916,0.0011288,0.0011288,0.0011288
24,675.989,2.22826,2.10743,1.25065,0.78286,0.73021,0.82006,0.29044,2.11767,2.01537,1.27805,0.0010892,0.0010892,0.0010892
25,706.463,2.214,2.0881,1.25608,0.71282,0.84833,0.8192,0.30124,2.07933,1.91357,1.28698,0.0010496,0.0010496,0.0010496
26,736.739,2.43139,2.38509,1.3126,0.77257,0.82278,0.81247,0.29919,2.10613,1.86693,1.30358,0.00101,0.00101,0.00101
27,766.915,2.29963,2.18222,1.33692,0.77665,0.79747,0.83175,0.32513,2.12364,1.79448,1.29753,0.0009704,0.0009704,0.0009704
28,797.149,2.2785,2.02792,1.30412,0.78771,0.84547,0.86838,0.32808,2.14559,1.78382,1.28612,0.0009308,0.0009308,0.0009308
29,827.377,2.31562,1.98944,1.27117,0.88983,0.75949,0.88483,0.33655,2.1173,1.77623,1.28967,0.0008912,0.0008912,0.0008912
30,857.239,2.21007,1.88211,1.27573,0.84217,0.8481,0.88477,0.34375,2.09614,1.74307,1.29124,0.0008516,0.0008516,0.0008516
31,889.807,2.19667,1.96557,1.35074,0.84756,0.91498,0.90624,0.3663,1.94897,1.58752,1.2415,0.000812,0.000812,0.000812
32,921.467,2.08041,1.67873,1.28972,0.83528,0.86076,0.90131,0.3816,1.93327,1.58438,1.22315,0.0007724,0.0007724,0.0007724
