epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4913,4.93145,0.84584,0.68238,12.1339,3.06743,0.00099,0.06667,0.00056,7e-05,0.01152,0.77778,0.0297,0.01372,4.00829,0.44439,0.627,4.85173,2.65314,0.0001,0.0001,0.0001
2,38.8105,3.72307,0.68651,0.62667,4.09491,2.27124,0.2834,0.13333,0.07603,0.01602,0.33064,0.15556,0.15837,0.13356,3.27774,0.46057,0.62298,4.59953,2.01723,0.000215644,0.000215644,0.000215644
3,55.7126,3.06709,0.52343,0.551,3.31828,2.04612,0.60907,0.24444,0.24676,0.07502,0.66029,0.26667,0.33118,0.31757,2.80987,0.44108,0.61495,3.37663,1.7142,0.000326536,0.000326536,0.000326536
4,71.8908,3.33159,0.46138,0.39899,2.83019,1.88316,0.42316,0.31111,0.27094,0.09701,0.52898,0.37445,0.36938,0.35671,2.82925,0.42051,0.60053,2.82102,1.69991,0.000432676,0.000432676,0.000432676
5,88.7139,2.85297,0.33514,0.33134,2.17686,1.7032,0.34548,0.25821,0.21123,0.06143,0.36482,0.35556,0.3763,0.35765,2.826,0.42048,0.58231,2.68067,1.6815,0.000534064,0.000534064,0.000534064
6,104.771,2.80029,0.32849,0.25789,1.97215,1.60308,0.52734,0.44444,0.48146,0.16709,0.57613,0.51111,0.52322,0.48356,2.54999,0.40543,0.51931,2.02338,1.57822,0.0006307,0.0006307,0.0006307
7,121.177,2.81865,0.29476,0.16399,1.81637,1.57524,0.505,0.51111,0.42084,0.14743,0.64634,0.51111,0.55355,0.52557,2.36147,0.41754,0.47824,1.90227,1.461,0.000722584,0.000722584,0.000722584
8,137.26,2.48953,0.24127,0.18262,1.78102,1.53998,0.50993,0.48889,0.43157,0.15567,0.68642,0.58385,0.62558,0.59456,2.28299,0.43362,0.4517,1.61434,1.43391,0.000809716,0.000809716,0.000809716
9,153.443,2.41106,0.26353,0.25401,1.6658,1.42697,0.45674,0.51111,0.36381,0.12405,0.60505,0.64444,0.60517,0.57836,2.32074,0.43292,0.42868,1.9286,1.44812,0.000892096,0.000892096,0.000892096
10,169.711,2.4274,0.24644,0.19753,1.61126,1.45186,0.57641,0.60488,0.56163,0.19347,0.61798,0.6471,0.67486,0.66016,2.22845,0.32305,0.28627,1.59017,1.44025,0.000969724,0.000969724,0.000969724
11,185.901,2.48079,0.2428,0.2025,1.49029,1.45399,0.64088,0.64444,0.61863,0.22415,0.70683,0.69664,0.69673,0.68952,2.19155,0.29195,0.23915,1.61272,1.42832,0.0010426,0.0010426,0.0010426
12,202.135,2.31125,0.21089,0.11731,1.41298,1.45795,0.465,0.57948,0.44883,0.14708,0.58523,0.73333,0.72523,0.71705,2.34163,0.24472,0.19706,1.54046,1.42696,0.00111072,0.00111072,0.00111072
13,218.29,2.20904,0.19229,0.16867,1.71663,1.43969,0.47623,0.46667,0.42795,0.16291,0.69138,0.69708,0.76032,0.74815,2.43993,0.2118,0.15446,1.82694,1.489,0.0011741,0.0011741,0.0011741
14,235.201,2.28643,0.1443,0.1152,1.42408,1.4285,0.83938,0.55556,0.73069,0.28934,0.73569,0.80418,0.84054,0.83487,2.19949,0.17137,0.10664,1.78682,1.39185,0.00123272,0.00123272,0.00123272
15,253.094,1.92614,0.13109,0.06734,1.51285,1.38958,0.83938,0.55556,0.73069,0.28934,0.73569,0.80418,0.84054,0.83487,2.19949,0.17137,0.10664,1.78682,1.39185,0.00128658,0.00128658,0.00128658
16,279.584,2.35325,0.14067,0.07572,1.37627,1.38849,0.89373,0.74772,0.84158,0.31814,0.89373,0.74772,0.85146,0.84843,2.01551,0.13505,0.08686,1.29965,1.30043,0.0013357,0.0013357,0.0013357
17,304.496,2.00584,0.12881,0.14398,1.24198,1.29329,0.96406,0.59621,0.81284,0.34421,0.72497,0.76158,0.84278,0.84278,1.87514,0.102,0.05802,1.39016,1.24677,0.0013664,0.0013664,0.0013664
18,329.872,2.0714,0.15205,0.06575,1.29732,1.32497,0.91207,0.69156,0.85959,0.38603,0.91207,0.69156,0.87299,0.87299,1.85142,0.09163,0.05042,1.34317,1.26219,0.0013268,0.0013268,0.0013268
19,352.034,2.09776,0.11562,0.15828,1.25868,1.28178,0.91207,0.69156,0.85959,0.38603,0.91207,0.69156,0.87299,0.87299,1.85142,0.09163,0.05042,1.34317,1.26219,0.0012872,0.0012872,0.0012872
20,375.397,2.02528,0.12461,0.12527,1.17725,1.22548,0.92942,0.75556,0.9032,0.40277,0.92942,0.75556,0.9032,0.9032,1.85965,0.08147,0.04456,1.14662,1.26095,0.0012476,0.0012476,0.0012476
21,400.869,2.03541,0.11875,0.06246,1.12472,1.32607,1,0.79124,0.94734,0.45346,1,0.79124,0.95611,0.95296,1.75725,0.08586,0.03308,1.15576,1.22916,0.001208,0.001208,0.001208
22,428.008,2.00561,0.11034,0.13381,1.15366,1.28041,0.83626,0.90801,0.93381,0.46748,0.85653,0.92877,0.96373,0.96155,1.71189,0.09083,0.03061,1.05209,1.19505,0.0011684,0.0011684,0.0011684
23,453.341,1.93728,0.10397,0.14716,1.08245,1.25164,0.83626,0.90801,0.93381,0.46748,0.85653,0.92877,0.96373,0.96155,1.71189,0.09083,0.03061,1.05209,1.19505,0.0011288,0.0011288,0.0011288
24,477.652,1.99096,0.12065,0.16148,1.17349,1.24166,0.92508,0.91111,0.93636,0.4925,0.9544,0.93033,0.98175,0.98175,1.62261,0.09031,0.02852,1.00925,1.15953,0.0010892,0.0010892,0.0010892
25,502.872,1.96171,0.09355,0.20387,1.10027,1.17477,0.95449,0.93218,0.96644,0.49936,0.95449,0.93218,0.98349,0.98349,1.57981,0.09061,0.02935,1.03759,1.14187,0.0010496,0.0010496,0.0010496
26,526.845,1.91853,0.0948,0.10099,1.10203,1.26934,0.95539,0.9519,0.96879,0.49942,0.95539,0.9519,0.98518,0.98518,1.55378,0.08257,0.02419,1.03471,1.12702,0.00101,0.00101,0.00101
27,551.164,1.9321,0.1015,0.09923,1.06601,1.208,0.95539,0.9519,0.96879,0.49942,0.95539,0.9519,0.98518,0.98518,1.55378,0.08257,0.02419,1.03471,1.12702,0.0009704,0.0009704,0.0009704
28,576.764,1.77606,0.13202,0.0895,1.03518,1.16867,0.97213,0.93333,0.98158,0.52827,0.97213,0.93333,0.98446,0.98446,1.5134,0.08748,0.02386,0.9428,1.12088,0.0009308,0.0009308,0.0009308
29,604.483,1.86091,0.08471,0.35046,1.052,1.171,0.94415,0.93333,0.95972,0.5361,0.96663,0.95556,0.98924,0.98924,1.55204,0.06499,0.01783,0.8786,1.13756,0.0008912,0.0008912,0.0008912
30,630.423,1.98074,0.09721,0.06317,1.01079,1.15649,0.93456,0.95556,0.9843,0.56406,0.95871,0.97778,0.993,0.993,1.50925,0.06896,0.01766,0.8533,1.12531,0.0008516,0.0008516,0.0008516
31,657.289,1.6751,0.11028,0.07298,0.95299,1.07855,0.93456,0.95556,0.9843,0.56406,0.95871,0.97778,0.993,0.993,1.50925,0.06896,0.01766,0.8533,1.12531,0.000812,0.000812,0.000812
32,685.333,1.72682,0.08149,0.18494,0.9726,1.21181,0.93566,0.96964,0.9863,0.55154,0.9571,0.99166,0.99415,0.99198,1.49447,0.07119,0.01745,0.84218,1.12201,0.0007724,0.0007724,0.0007724
33,713.199,1.78981,0.09309,0.05705,0.97206,1.12035,0.97805,0.99017,0.99326,0.5652,0.97805,0.99017,0.99326,0.99082,1.49267,0.07178,0.01829,0.83117,1.12194,0.0007328,0.0007328,0.0007328
34,740.974,1.58676,0.07424,0.15318,0.92625,1.10672,0.96761,0.97778,0.9917,0.584,0.96761,0.97778,0.9917,0.98915,1.41244,0.0657,0.01858,0.80538,1.08537,0.0006932,0.0006932,0.0006932
35,768.553,1.77947,0.08428,0.10068,1.04007,1.22081,0.96761,0.97778,0.9917,0.584,0.96761,0.97778,0.9917,0.98915,1.41244,0.0657,0.01858,0.80538,1.08537,0.0006536,0.0006536,0.0006536
36,796.278,1.52217,0.07103,0.10361,0.88049,1.15339,0.96951,0.97778,0.99137,0.59613,0.96951,0.97778,0.99137,0.98882,1.38789,0.05925,0.01739,0.7704,1.06635,0.000614,0.000614,0.000614
37,822.316,1.53237,0.07993,0.03585,0.90304,1.07115,0.96382,0.97778,0.99137,0.6059,0.96382,0.97778,0.99137,0.98887,1.38222,0.05655,0.01674,0.76871,1.05938,0.0005744,0.0005744,0.0005744
38,850.331,1.56831,0.05388,0.16847,0.91147,1.09199,0.96861,0.97778,0.99211,0.60554,0.96861,0.97778,0.99211,0.99012,1.38412,0.05548,0.01596,0.75595,1.05589,0.0005348,0.0005348,0.0005348
39,877.321,1.71618,0.06632,0.12882,0.94581,1.11118,0.96861,0.97778,0.99211,0.60554,0.96861,0.97778,0.99211,0.99012,1.38412,0.05548,0.01596,0.75595,1.05589,0.0004952,0.0004952,0.0004952
40,904.986,1.57674,0.05464,0.09666,0.91692,1.06235,0.97392,0.97778,0.99248,0.59842,0.97392,0.97778,0.99248,0.98877,1.37972,0.05611,0.01626,0.77309,1.04695,0.0004556,0.0004556,0.0004556
41,931.832,1.52191,0.05551,0.02421,0.88367,1.10779,0.9745,0.97778,0.99248,0.59994,0.9745,0.97778,0.99248,0.9912,1.3354,0.05467,0.01523,0.76675,1.03318,0.000416,0.000416,0.000416
42,958.835,1.51957,0.05329,0.02214,0.92935,1.11697,0.97691,0.97778,0.99331,0.62205,0.97691,0.97778,0.99331,0.99194,1.28513,0.0528,0.01413,0.75642,1.02223,0.0003764,0.0003764,0.0003764
43,986.749,1.42769,0.04846,0.02214,0.89903,1.10128,0.97691,0.97778,0.99331,0.62205,0.97691,0.97778,0.99331,0.99194,1.28513,0.0528,0.01413,0.75642,1.02223,0.0003368,0.0003368,0.0003368
44,1012.41,1.45172,0.04883,0.02068,0.82758,1.12015,0.97811,0.99288,0.99413,0.62437,0.97811,0.99288,0.99413,0.99413,1.28526,0.05143,0.013,0.73942,1.01579,0.0002972,0.0002972,0.0002972
45,1039.78,1.55937,0.05312,0.02086,0.8518,1.09372,0.97812,0.99331,0.99413,0.61207,0.97812,0.99331,0.99413,0.99413,1.27531,0.0506,0.01257,0.73042,1.00758,0.0002576,0.0002576,0.0002576
46,1065.35,1.47251,0.05193,0.01857,0.83097,1.13925,0.97812,0.99335,0.99413,0.62225,0.97812,0.99335,0.99413,0.99413,1.24432,0.04897,0.01268,0.72668,0.99716,0.000218,0.000218,0.000218
47,1093.48,1.43751,0.04944,0.01816,0.78183,1.11298,0.97812,0.99335,0.99413,0.62225,0.97812,0.99335,0.99413,0.99413,1.24432,0.04897,0.01268,0.72668,0.99716,0.0001784,0.0001784,0.0001784
48,1119.39,1.44341,0.05074,0.01754,0.85603,1.1021,0.97811,0.99292,0.99413,0.62946,0.97811,0.99292,0.99413,0.99413,1.22302,0.0479,0.01309,0.71953,0.98972,0.0001388,0.0001388,0.0001388
49,1146.83,1.39956,0.04923,0.01862,0.81038,1.09824,0.9781,0.99241,0.99413,0.63074,0.9781,0.99241,0.99413,0.99413,1.22437,0.04692,0.01347,0.71923,0.98561,9.92e-05,9.92e-05,9.92e-05
50,1172.84,1.37436,0.05118,0.01787,0.77909,1.06581,0.9781,0.99266,0.99413,0.64017,0.9781,0.99266,0.99413,0.99413,1.23048,0.0461,0.01417,0.71384,0.98421,5.96e-05,5.96e-05,5.96e-05
