epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,573.605,1.35478,9.14012,0.69525,1.16188,1.68895,0.93706,0.90493,0.96452,0.5918,0.19209,0.11928,0.03305,0.00435,1.44666,7.60879,0.55799,0.63836,1.69287,0.00333043,0.00333043,0.00333043
2,1099.34,1.16291,7.01891,0.63257,0.88849,1.50349,0.94473,0.8561,0.93249,0.65717,0.75541,0.4928,0.46596,0.14307,1.13187,5.33589,0.37452,0.70864,1.48093,0.00661979,0.00661979,0.00661979
3,1507.3,1.20404,6.32246,0.56114,0.94749,1.53437,0.92705,0.90199,0.95177,0.65263,0.6451,0.48506,0.40065,0.17286,1.16405,4.8996,0.24112,0.68846,1.45855,0.00986514,0.00986514,0.00986514
4,1923.25,1.22166,6.01707,0.47801,0.98141,1.53988,0.92481,0.88824,0.95213,0.69596,0.80956,0.56378,0.5721,0.28719,1.06337,4.32763,0.17353,0.66203,1.38981,0.009802,0.009802,0.009802
5,2350.76,1.17574,5.56851,0.42672,0.93197,1.50418,0.93394,0.91522,0.96779,0.7181,0.79265,0.59641,0.59938,0.35478,0.99561,3.8239,0.17365,0.56908,1.34374,0.009736,0.009736,0.009736
6,2803.66,1.13275,5.18966,0.39798,0.88214,1.46908,0.95258,0.93628,0.97889,0.74247,0.80255,0.62725,0.64352,0.42172,0.94502,3.52572,0.11474,0.50422,1.29289,0.00967,0.00967,0.00967
7,3245.99,1.10664,4.95935,0.38025,0.84674,1.44555,0.96025,0.94208,0.98091,0.76686,0.72642,0.59768,0.5414,0.34177,0.8831,3.81862,0.13059,0.48154,1.24101,0.009604,0.009604,0.009604
8,3667.41,1.07825,4.79115,0.36898,0.81947,1.42342,0.94828,0.93226,0.97773,0.7766,0.84042,0.67179,0.69662,0.46574,0.85979,3.27399,0.10308,0.49355,1.21778,0.009538,0.009538,0.009538
9,4074.75,1.06723,4.67021,0.36141,0.80361,1.41114,0.94738,0.93781,0.98168,0.77553,0.80231,0.6739,0.66611,0.4368,0.83515,3.24521,0.09784,0.46895,1.19336,0.009472,0.009472,0.009472
10,4449.45,1.04365,4.49717,0.35173,0.7768,1.39752,0.95725,0.95323,0.98487,0.78473,0.80848,0.69836,0.69632,0.46214,0.86391,3.0822,0.08612,0.4519,1.19856,0.009406,0.009406,0.009406
11,4819.57,1.03198,4.41526,0.34491,0.766,1.386,0.94825,0.9489,0.98429,0.79345,0.82934,0.70486,0.7152,0.49765,0.79918,2.9443,0.09271,0.4411,1.16608,0.00934,0.00934,0.00934
12,5189.96,1.01505,4.30553,0.33945,0.74161,1.37664,0.96275,0.95511,0.98624,0.80114,0.8336,0.72142,0.70699,0.48104,0.78073,2.87894,0.07006,0.42668,1.15601,0.009274,0.009274,0.009274
13,5559.74,1.00704,4.23085,0.33225,0.73763,1.36704,0.96215,0.9582,0.98616,0.80482,0.82847,0.71581,0.72648,0.51018,0.79177,2.93619,0.08353,0.40827,1.15852,0.009208,0.009208,0.009208
14,5930.48,1.00164,4.19163,0.32894,0.73137,1.36282,0.96312,0.95935,0.98752,0.79822,0.82197,0.72015,0.72249,0.51154,0.81041,2.85229,0.07756,0.41362,1.15673,0.009142,0.009142,0.009142
15,6300.54,0.9948,4.13483,0.32443,0.7235,1.36018,0.96382,0.96072,0.9867,0.81492,0.8391,0.73939,0.75676,0.56282,0.76838,2.62566,0.08183,0.41578,1.13463,0.009076,0.009076,0.009076
16,6670.06,0.98368,4.04563,0.31823,0.71341,1.35216,0.96562,0.95998,0.98754,0.82078,0.82962,0.74775,0.75017,0.55147,0.75022,2.61863,0.07096,0.3974,1.12176,0.00901,0.00901,0.00901
17,7039.68,0.97614,4.00264,0.3124,0.70704,1.3502,0.9577,0.96377,0.98678,0.80204,0.81082,0.73025,0.71689,0.52484,0.78716,2.71,0.0756,0.41439,1.14319,0.008944,0.008944,0.008944
18,7408.47,0.96835,3.94935,0.30857,0.69947,1.34326,0.97261,0.96164,0.98839,0.80775,0.83278,0.76224,0.78247,0.58702,0.81508,2.51856,0.06699,0.40864,1.15433,0.008878,0.008878,0.008878
19,7778.12,0.96815,3.91492,0.30602,0.69514,1.3361,0.96517,0.96241,0.98831,0.81614,0.83259,0.75736,0.7633,0.57507,0.77094,2.50112,0.07096,0.39642,1.1195,0.008812,0.008812,0.008812
20,8147.67,0.95766,3.81965,0.30401,0.68466,1.33337,0.968,0.96151,0.98909,0.8266,0.83337,0.77597,0.78589,0.59405,0.73714,2.41753,0.07237,0.38017,1.10425,0.008746,0.008746,0.008746
21,8516.78,0.95762,3.79371,0.29693,0.68971,1.33489,0.96969,0.96638,0.98949,0.8285,0.84338,0.76603,0.78274,0.60373,0.73797,2.40714,0.06695,0.37638,1.10168,0.00868,0.00868,0.00868
22,8883.93,0.95283,3.76866,0.29628,0.68577,1.33141,0.96765,0.96428,0.98908,0.82514,0.84238,0.78186,0.77684,0.5882,0.74991,2.35769,0.06427,0.38578,1.10398,0.008614,0.008614,0.008614
