epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.81,1.01713,8.74139,0.5721,0.79718,1.35278,0.91886,0.89945,0.96027,0.72657,0.67972,0.38015,0.31454,0.08072,0.97259,6.12472,0.19039,0.62539,1.35372,0.000666087,0.000666087,0.000666087
2,556.369,0.99559,7.03166,0.42259,0.72091,1.32002,0.92947,0.90181,0.96106,0.72563,0.35007,0.23308,0.12942,0.04366,0.97629,6.4475,0.15202,0.57219,1.31606,0.00128877,0.00128877,0.00128877
3,813.228,0.94579,6.28069,0.37554,0.66964,1.28116,0.91276,0.91666,0.96228,0.75087,0.75844,0.51055,0.48405,0.25346,0.8706,4.65705,0.14267,0.54072,1.23721,0.00186746,0.00186746,0.00186746
4,1059.81,0.91568,5.81254,0.34622,0.63846,1.25655,0.94093,0.93743,0.97483,0.76275,0.68849,0.51778,0.45699,0.20508,0.9016,4.57663,0.10591,0.50588,1.26332,0.001802,0.001802,0.001802
5,1321.89,0.87271,5.40617,0.32675,0.59992,1.22664,0.94694,0.94329,0.98042,0.78112,0.80802,0.64578,0.65929,0.39108,0.83663,3.51126,0.10252,0.46338,1.20302,0.001736,0.001736,0.001736
6,1605.3,0.84709,5.07507,0.30686,0.57329,1.21127,0.95401,0.9517,0.98204,0.81209,0.72963,0.57053,0.51476,0.33031,0.75476,3.8393,0.08648,0.43453,1.13999,0.00167,0.00167,0.00167
7,2025.67,0.82257,4.80792,0.29526,0.54713,1.19417,0.94933,0.96049,0.98521,0.81961,0.83369,0.68608,0.71583,0.49217,0.73184,3.06342,0.07828,0.40814,1.11728,0.001604,0.001604,0.001604
8,2553.37,0.80484,4.64861,0.28706,0.52829,1.18016,0.96523,0.95769,0.98622,0.83774,0.83103,0.69466,0.72111,0.50499,0.70322,3.02163,0.07592,0.38562,1.09168,0.001538,0.001538,0.001538
9,3096.57,0.78499,4.48152,0.28112,0.5127,1.17014,0.95391,0.9626,0.98688,0.83859,0.80727,0.70726,0.70997,0.4929,0.68229,2.93351,0.07236,0.37298,1.06965,0.001472,0.001472,0.001472
10,3526.64,0.77436,4.32936,0.27259,0.5071,1.15999,0.95453,0.96457,0.98663,0.84452,0.75709,0.68038,0.6386,0.43804,0.67083,3.14226,0.07458,0.36973,1.06649,0.001406,0.001406,0.001406
