epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,360.095,0.99684,9.5946,0.69236,0.84629,1.36086,0.94537,0.92647,0.97811,0.7822,0.42417,0.23385,0.13601,0.02778,0.83859,7.01588,0.545,0.49091,1.2116,0.00333043,0.00333043,0.00333043
2,625.085,0.8912,7.171,0.64187,0.62919,1.25871,0.94601,0.92405,0.97059,0.77962,0.80335,0.50159,0.51849,0.22845,0.84246,4.82709,0.41192,0.51817,1.22712,0.0065978,0.0065978,0.0065978
3,920.129,0.94046,6.43989,0.59401,0.68572,1.28718,0.89755,0.70001,0.81068,0.59696,0.81363,0.42806,0.42046,0.19325,1.14452,5.75103,0.40508,1.07089,1.54352,0.00979916,0.00979916,0.00979916
4,1235.42,0.96828,6.09632,0.52339,0.71121,1.29787,0.90178,0.80963,0.90004,0.65666,0.27336,0.19791,0.06595,0.02136,1.07489,6.88426,0.28679,0.80577,1.41921,0.009703,0.009703,0.009703
5,1574.97,0.92083,5.57632,0.46519,0.65941,1.25792,0.94777,0.9331,0.97677,0.79219,0.82076,0.62342,0.64142,0.36979,0.79561,3.66638,0.17697,0.47558,1.17937,0.009604,0.009604,0.009604
6,2088.53,0.8934,5.21176,0.42765,0.62457,1.24005,0.95046,0.92545,0.97524,0.79719,0.76267,0.60788,0.57172,0.36332,0.78135,3.76269,0.14805,0.46503,1.16421,0.009505,0.009505,0.009505
7,2508.92,0.86312,5.01848,0.40488,0.60064,1.22279,0.9545,0.94627,0.98263,0.80564,0.8105,0.66255,0.66555,0.42316,0.7633,3.32691,0.12313,0.43292,1.14114,0.009406,0.009406,0.009406
8,2892.69,0.84172,4.81706,0.38954,0.57577,1.2062,0.96162,0.9452,0.97884,0.81456,0.81075,0.67134,0.66739,0.45401,0.73083,3.19984,0.08308,0.43055,1.12137,0.009307,0.009307,0.009307
9,3235.57,0.82575,4.67163,0.38007,0.5593,1.19732,0.95695,0.94907,0.98234,0.82463,0.82299,0.6814,0.68728,0.46442,0.72155,3.18061,0.11054,0.41427,1.11459,0.009208,0.009208,0.009208
10,3670.22,0.8152,4.54154,0.36804,0.55027,1.18701,0.95322,0.96177,0.98593,0.82219,0.75064,0.6693,0.62503,0.41912,0.72779,3.28221,0.07832,0.40504,1.11325,0.009109,0.009109,0.009109
11,4129.37,0.79788,4.40534,0.36089,0.53398,1.17485,0.96394,0.96072,0.98674,0.84277,0.82143,0.70549,0.70345,0.48459,0.67349,2.97065,0.08662,0.37711,1.07225,0.00901,0.00901,0.00901
12,4578.76,0.78635,4.29686,0.35422,0.52487,1.17029,0.95701,0.96113,0.98658,0.8384,0.82315,0.72305,0.72951,0.50623,0.6735,2.8622,0.07747,0.37747,1.06879,0.008911,0.008911,0.008911
13,5039.8,0.77818,4.24138,0.35184,0.51762,1.16859,0.95612,0.96126,0.98658,0.83605,0.79971,0.69303,0.66788,0.45373,0.6829,3.02956,0.0796,0.38122,1.07804,0.008812,0.008812,0.008812
14,5488.15,0.77588,4.1878,0.34161,0.50861,1.16155,0.95968,0.96449,0.98766,0.8526,0.83352,0.74845,0.76485,0.55175,0.65552,2.70036,0.08052,0.36084,1.05665,0.008713,0.008713,0.008713
15,5956.95,0.75932,4.12805,0.33963,0.50649,1.15362,0.96549,0.96606,0.98762,0.84697,0.78075,0.72486,0.69483,0.49488,0.66672,2.86302,0.08674,0.36028,1.06348,0.008614,0.008614,0.008614
16,6440.04,0.75596,4.00589,0.33344,0.49385,1.15006,0.96172,0.96677,0.98809,0.85626,0.83355,0.75244,0.75823,0.56004,0.63381,2.57091,0.08234,0.33915,1.044,0.008515,0.008515,0.008515
17,6846.64,0.74798,3.96068,0.33072,0.49101,1.14565,0.96568,0.96852,0.98865,0.85557,0.80149,0.7283,0.70397,0.51144,0.63724,2.79625,0.07283,0.34815,1.04682,0.008416,0.008416,0.008416
18,7148.59,0.74907,3.92751,0.32489,0.491,1.14494,0.9646,0.97311,0.98845,0.86133,0.8323,0.77792,0.78926,0.59194,0.62652,2.47362,0.073,0.32958,1.03727,0.008317,0.008317,0.008317
19,7360,0.73622,3.86082,0.32046,0.4822,1.13885,0.96979,0.97375,0.98949,0.86599,0.83513,0.77203,0.78649,0.59942,0.62285,2.47839,0.06638,0.32316,1.03043,0.008218,0.008218,0.008218
20,8019.98,0.73768,3.81828,0.31885,0.48086,1.14197,0.96924,0.97209,0.98958,0.86877,0.83109,0.78001,0.78891,0.59659,0.61418,2.43955,0.06658,0.32755,1.02507,0.008119,0.008119,0.008119
21,8959.12,0.7294,3.79299,0.31223,0.4787,1.13641,0.96594,0.97218,0.98933,0.87024,0.84145,0.77265,0.78793,0.61353,0.60724,2.32183,0.07466,0.325,1.02078,0.00802,0.00802,0.00802
22,9802.66,0.72767,3.7343,0.31026,0.47045,1.13486,0.96734,0.97043,0.98912,0.86601,0.8321,0.79639,0.79701,0.61899,0.61082,2.24931,0.06955,0.32817,1.02696,0.007921,0.007921,0.007921
23,10554,0.7192,3.66101,0.30402,0.46576,1.12778,0.97241,0.97324,0.98975,0.87431,0.84445,0.80111,0.81004,0.63511,0.59499,2.16873,0.06458,0.31659,1.01493,0.007822,0.007822,0.007822
24,11363.5,0.71667,3.64715,0.30507,0.46508,1.12623,0.96546,0.97234,0.98912,0.87451,0.84133,0.79666,0.81056,0.63915,0.59236,2.18748,0.06287,0.31498,1.00971,0.007723,0.007723,0.007723
25,12112.5,0.72059,3.66653,0.29875,0.46574,1.12704,0.96653,0.9777,0.98931,0.86985,0.84591,0.80247,0.80905,0.63343,0.59532,2.16463,0.06261,0.31709,1.01184,0.007624,0.007624,0.007624
26,12833.3,0.71408,3.61803,0.29577,0.45643,1.12325,0.97264,0.97405,0.98988,0.87851,0.83275,0.80018,0.80813,0.64987,0.58829,2.18271,0.06246,0.30527,1.00484,0.007525,0.007525,0.007525
27,13558,0.70284,3.5474,0.28909,0.45351,1.11559,0.96838,0.9763,0.98996,0.87832,0.83751,0.79609,0.80581,0.6472,0.5811,2.18637,0.0621,0.30494,1.00277,0.007426,0.007426,0.007426
28,14371.1,0.70436,3.55376,0.28904,0.45081,1.11601,0.96698,0.97757,0.9898,0.8777,0.84527,0.80031,0.81184,0.65147,0.58619,2.12511,0.05729,0.30093,1.00688,0.007327,0.007327,0.007327
29,15173.4,0.70007,3.50055,0.28732,0.44537,1.11327,0.96538,0.97846,0.98976,0.87803,0.84474,0.8026,0.80661,0.65255,0.57886,2.11256,0.05935,0.29692,0.99924,0.007228,0.007228,0.007228
30,15928.5,0.69933,3.44486,0.28078,0.44423,1.11261,0.97006,0.97706,0.9905,0.88225,0.84986,0.80884,0.82404,0.66603,0.57456,2.07829,0.05995,0.29576,0.99731,0.007129,0.007129,0.007129
31,16708.8,0.69468,3.44589,0.27939,0.4459,1.10915,0.9682,0.97761,0.99024,0.88455,0.85203,0.8057,0.82945,0.67391,0.56809,2.0634,0.05664,0.29612,0.99466,0.00703,0.00703,0.00703
32,17467.4,0.69686,3.42535,0.27645,0.44181,1.11131,0.97153,0.9742,0.99008,0.88399,0.85287,0.8148,0.8295,0.67583,0.56832,2.02761,0.05488,0.29286,0.99618,0.006931,0.006931,0.006931
33,18164.5,0.6916,3.37496,0.27247,0.43789,1.1055,0.96939,0.97652,0.99041,0.88532,0.8516,0.82198,0.84093,0.68676,0.56709,1.99124,0.05606,0.29078,0.99518,0.006832,0.006832,0.006832
34,18871.4,0.6872,3.34636,0.27121,0.43375,1.10717,0.97175,0.97746,0.99091,0.88703,0.86285,0.82223,0.84168,0.68822,0.5654,1.96908,0.05559,0.28708,0.99318,0.006733,0.006733,0.006733
35,19553.2,0.68152,3.32712,0.26791,0.42963,1.1034,0.96934,0.97846,0.99085,0.88702,0.86891,0.83115,0.85404,0.69316,0.5595,1.90597,0.05409,0.28592,0.98782,0.006634,0.006634,0.006634
36,20365.8,0.68348,3.32366,0.26651,0.43437,1.10367,0.97149,0.97655,0.99065,0.88729,0.86128,0.82838,0.84686,0.69111,0.55626,1.91903,0.05336,0.28181,0.98599,0.006535,0.006535,0.006535
37,20643.9,0.6835,3.32271,0.26555,0.42987,1.10301,0.96884,0.97869,0.99061,0.88767,0.86262,0.8328,0.84988,0.69417,0.55419,1.90221,0.05362,0.28122,0.98504,0.006436,0.006436,0.006436
38,20852,0.6827,3.2883,0.26454,0.43159,1.10643,0.97167,0.97894,0.99117,0.89014,0.86471,0.8308,0.84986,0.69713,0.55263,1.89307,0.05312,0.27747,0.98351,0.006337,0.006337,0.006337
39,21063.3,0.67837,3.25074,0.25934,0.42711,1.10046,0.97059,0.97999,0.9913,0.89207,0.86446,0.83226,0.85074,0.7004,0.54957,1.8905,0.0522,0.27694,0.97976,0.006238,0.006238,0.006238
40,21285,0.67539,3.22229,0.26046,0.42447,1.10016,0.97,0.98067,0.99116,0.89237,0.86516,0.83159,0.85076,0.70232,0.54758,1.89694,0.05209,0.27606,0.97774,0.006139,0.006139,0.006139
41,21499.2,0.66815,3.19406,0.25868,0.4202,1.09491,0.97071,0.9791,0.99116,0.89267,0.86574,0.83573,0.85287,0.70538,0.54628,1.88184,0.05184,0.27388,0.97593,0.00604,0.00604,0.00604
42,21712.1,0.66853,3.1742,0.2572,0.42169,1.09574,0.97145,0.97988,0.991,0.89424,0.86369,0.8328,0.8525,0.70867,0.54359,1.87878,0.05177,0.2733,0.97388,0.005941,0.005941,0.005941
43,21923.6,0.66221,3.11969,0.25534,0.41468,1.09246,0.97175,0.98165,0.99118,0.89533,0.86182,0.83534,0.85491,0.71187,0.5423,1.86762,0.05199,0.27103,0.97359,0.005842,0.005842,0.005842
44,22133.4,0.66468,3.11279,0.25288,0.41556,1.09216,0.97145,0.98063,0.99109,0.89568,0.86797,0.83942,0.85878,0.71443,0.54121,1.84222,0.05131,0.27068,0.97352,0.005743,0.005743,0.005743
45,22341.9,0.66062,3.084,0.25327,0.41324,1.09124,0.97319,0.97948,0.99116,0.89646,0.86827,0.83913,0.85798,0.71514,0.53972,1.84695,0.05055,0.269,0.97252,0.005644,0.005644,0.005644
46,22549.5,0.65701,3.04866,0.25219,0.41123,1.08891,0.97315,0.97907,0.9911,0.89657,0.86549,0.83905,0.85737,0.71484,0.5393,1.85079,0.04995,0.26835,0.97298,0.005545,0.005545,0.005545
47,22752.4,0.66001,2.9716,0.25138,0.41251,1.09144,0.97208,0.98046,0.99115,0.89723,0.8692,0.83841,0.85928,0.71896,0.53766,1.83865,0.04945,0.26721,0.97176,0.005446,0.005446,0.005446
48,22956.7,0.65754,2.928,0.24746,0.41091,1.08934,0.97257,0.98047,0.99118,0.89765,0.87064,0.83799,0.86018,0.72057,0.53669,1.82789,0.04887,0.26712,0.97104,0.005347,0.005347,0.005347
49,23159.9,0.64903,2.89724,0.24616,0.40533,1.08302,0.97361,0.97999,0.99126,0.89812,0.87194,0.83817,0.86157,0.72075,0.53466,1.81622,0.04878,0.26575,0.96961,0.005248,0.005248,0.005248
50,23363.3,0.65076,2.877,0.24401,0.4056,1.08358,0.97401,0.97898,0.99125,0.8983,0.87134,0.83752,0.86043,0.72087,0.53346,1.81936,0.0485,0.26563,0.96846,0.005149,0.005149,0.005149
51,23566.2,0.65149,2.84439,0.24254,0.40644,1.08487,0.97436,0.9783,0.9913,0.89825,0.87204,0.83675,0.85864,0.72132,0.53315,1.81586,0.04809,0.26523,0.96817,0.00505,0.00505,0.00505
52,23769.4,0.64646,2.85601,0.24269,0.40064,1.08478,0.97459,0.97808,0.99122,0.89843,0.87413,0.83899,0.86315,0.72163,0.53191,1.80888,0.04784,0.26449,0.96734,0.004951,0.004951,0.004951
53,23972.1,0.64262,2.82269,0.2398,0.39776,1.08002,0.97231,0.98011,0.99131,0.89899,0.87474,0.84019,0.86396,0.72245,0.53084,1.79974,0.04775,0.26389,0.9667,0.004852,0.004852,0.004852
54,24174.8,0.63716,2.79226,0.24011,0.39763,1.07634,0.97171,0.98055,0.99129,0.89932,0.87357,0.84007,0.86367,0.72399,0.52948,1.79528,0.04759,0.26381,0.96613,0.004753,0.004753,0.004753
55,46345.8,0.64208,2.80149,0.23829,0.3981,1.08281,0.9728,0.97982,0.99126,0.8998,0.87089,0.84312,0.86376,0.72445,0.52882,1.7933,0.04738,0.26282,0.96564,0.004654,0.004654,0.004654
56,46662.2,0.63992,2.7647,0.23476,0.39716,1.07916,0.97244,0.9801,0.9913,0.8999,0.87315,0.84297,0.86462,0.72584,0.52784,1.78573,0.04714,0.26199,0.96489,0.004555,0.004555,0.004555
57,46979.5,0.63501,2.7626,0.23663,0.39761,1.07886,0.97365,0.9795,0.99133,0.90021,0.87364,0.84262,0.86404,0.72597,0.52703,1.78259,0.04691,0.26138,0.96437,0.004456,0.004456,0.004456
58,47304.8,0.63231,2.72011,0.23513,0.39256,1.07352,0.97317,0.9798,0.99132,0.90044,0.87484,0.84223,0.86499,0.72793,0.52636,1.77651,0.04669,0.26072,0.96407,0.004357,0.004357,0.004357
59,47627,0.63366,2.70948,0.23598,0.39178,1.07799,0.97343,0.97974,0.99133,0.90057,0.87498,0.84262,0.8652,0.72811,0.5258,1.77231,0.04657,0.25979,0.96353,0.004258,0.004258,0.004258
60,47936.7,0.62413,2.71612,0.23316,0.38764,1.06957,0.97391,0.98012,0.99139,0.90079,0.87622,0.84349,0.86637,0.7298,0.52533,1.76865,0.04631,0.2591,0.96312,0.004159,0.004159,0.004159
61,48247.7,0.62353,2.66922,0.23301,0.38085,1.07166,0.97441,0.98005,0.99148,0.90124,0.87738,0.84325,0.86647,0.73126,0.52473,1.76348,0.04618,0.25825,0.96275,0.00406,0.00406,0.00406
62,48551.5,0.6274,2.67276,0.23116,0.38742,1.07408,0.97449,0.97999,0.99151,0.90127,0.87841,0.84402,0.86722,0.73204,0.52426,1.76009,0.04601,0.25781,0.96251,0.003961,0.003961,0.003961
63,48858.4,0.62015,2.62887,0.22822,0.38419,1.06981,0.97452,0.97972,0.99158,0.90146,0.87855,0.84533,0.86805,0.73281,0.52384,1.75556,0.04582,0.25755,0.96223,0.003862,0.003862,0.003862
64,49171.4,0.62249,2.62892,0.22792,0.38392,1.07028,0.97439,0.97938,0.99149,0.90184,0.87888,0.8452,0.86809,0.73362,0.52304,1.75089,0.04558,0.25749,0.9616,0.003763,0.003763,0.003763
65,49412.2,0.61981,2.61176,0.226,0.38074,1.06932,0.97438,0.97916,0.99142,0.90191,0.87932,0.84657,0.86903,0.73416,0.52244,1.74664,0.04537,0.25699,0.9611,0.003664,0.003664,0.003664
66,49649.5,0.61092,2.5833,0.22697,0.37694,1.06294,0.97428,0.9798,0.99154,0.90231,0.87943,0.84759,0.86943,0.73464,0.52189,1.74291,0.04513,0.25682,0.96073,0.003565,0.003565,0.003565
67,49891,0.61375,2.57653,0.22632,0.37665,1.06685,0.97414,0.97974,0.99155,0.90238,0.88048,0.84784,0.87002,0.73577,0.52136,1.73818,0.04492,0.25659,0.96027,0.003466,0.003466,0.003466
68,50129.8,0.61382,2.58052,0.22542,0.37672,1.06744,0.97445,0.97974,0.99158,0.90235,0.88102,0.8486,0.8701,0.73664,0.52103,1.73564,0.04473,0.25604,0.96013,0.003367,0.003367,0.003367
